"value","clean"
100.043654,8.904395
96.495424,8.584747
91.247374,10.958257
99.63152,11.026297
104.280915,11.838409
102.546852,8.308622
133.320708,9.819105
103.77571,8.665611
95.555236,10.483552
109.056099,6.074564
94.950625,9.681342
104.938026,2.719391
108.66189,13.17721
105.658423,10.842436
106.227507,13.010121
110.511172,13.021185
101.32864,11.702025
99.550493,12.470918
100.680621,11.69367
100.824639,11.595247
,12.060361
,12.483949
,11.777202
,12.122253
,18.576948
,9.200886
,7.868831
,15.465379
,12.624945
,9.440356
